Float value,Sign,Exponent,Mantissa,Hexadecimal,Binary,Notes,#column-names
numeric,numeric,numeric,numeric:base=16,numeric:base=16,numeric:base=2,string,#column-format
right,right,right,right,right,right,left,#column-align
32-bit IEEE floating point numbers and their encodings as various binary encodings,#table-title
"Final float value, without sign, is mantissa * pow(2.0,exponent)",#table-note
Mantissa shown with implicit bit that is not stored in the final encoding,#table-note

3.0814879110195774e-32,0,-105,0xa00000,0b200000,00001011001000000000000000000000,
3.697785493223493e-32,0,-105,0xc00000,0b400000,00001011010000000000000000000000,
4.3140830754274083e-32,0,-105,0xe00000,0b600000,00001011011000000000000000000000,
4.930380657631324e-32,0,-104,0x800000,0b800000,00001011100000000000000000000000,
6.162975822039155e-32,0,-104,0xa00000,0ba00000,00001011101000000000000000000000,
7.395570986446986e-32,0,-104,0xc00000,0bc00000,00001011110000000000000000000000,
8.628166150854817e-32,0,-104,0xe00000,0be00000,00001011111000000000000000000000,
9.860761315262648e-32,0,-103,0x800000,0c000000,00001100000000000000000000000000,
1.232595164407831e-31,0,-103,0xa00000,0c200000,00001100001000000000000000000000,
1.4791141972893971e-31,0,-103,0xc00000,0c400000,00001100010000000000000000000000,
1.7256332301709633e-31,0,-103,0xe00000,0c600000,00001100011000000000000000000000,
1.9721522630525295e-31,0,-102,0x800000,0c800000,00001100100000000000000000000000,
2.465190328815662e-31,0,-102,0xa00000,0ca00000,00001100101000000000000000000000,
2.9582283945787943e-31,0,-102,0xc00000,0cc00000,00001100110000000000000000000000,
3.4512664603419266e-31,0,-102,0xe00000,0ce00000,00001100111000000000000000000000,
3.944304526105059e-31,0,-101,0x800000,0d000000,00001101000000000000000000000000,
4.930380657631324e-31,0,-101,0xa00000,0d200000,00001101001000000000000000000000,
5.9164567891575885e-31,0,-101,0xc00000,0d400000,00001101010000000000000000000000,
6.902532920683853e-31,0,-101,0xe00000,0d600000,00001101011000000000000000000000,
7.888609052210118e-31,0,-100,0x800000,0d800000,00001101100000000000000000000000,
9.860761315262648e-31,0,-100,0xa00000,0da00000,00001101101000000000000000000000,
1.1832913578315177e-30,0,-100,0xc00000,0dc00000,00001101110000000000000000000000,
1.3805065841367707e-30,0,-100,0xe00000,0de00000,00001101111000000000000000000000,
1.5777218104420236e-30,0,-99,0x800000,0e000000,00001110000000000000000000000000,
1.9721522630525295e-30,0,-99,0xa00000,0e200000,00001110001000000000000000000000,
2.3665827156630354e-30,0,-99,0xc00000,0e400000,00001110010000000000000000000000,
2.7610131682735413e-30,0,-99,0xe00000,0e600000,00001110011000000000000000000000,
3.1554436208840472e-30,0,-98,0x800000,0e800000,00001110100000000000000000000000,
3.944304526105059e-30,0,-98,0xa00000,0ea00000,00001110101000000000000000000000,
4.733165431326071e-30,0,-98,0xc00000,0ec00000,00001110110000000000000000000000,
5.5220263365470826e-30,0,-98,0xe00000,0ee00000,00001110111000000000000000000000,
6.310887241768095e-30,0,-97,0x800000,0f000000,00001111000000000000000000000000,
7.888609052210118e-30,0,-97,0xa00000,0f200000,00001111001000000000000000000000,
9.466330862652142e-30,0,-97,0xc00000,0f400000,00001111010000000000000000000000,
1.1044052673094165e-29,0,-97,0xe00000,0f600000,00001111011000000000000000000000,
1.262177448353619e-29,0,-96,0x800000,0f800000,00001111100000000000000000000000,
1.5777218104420236e-29,0,-96,0xa00000,0fa00000,00001111101000000000000000000000,
1.8932661725304283e-29,0,-96,0xc00000,0fc00000,00001111110000000000000000000000,
2.208810534618833e-29,0,-96,0xe00000,0fe00000,00001111111000000000000000000000,
2.524354896707238e-29,0,-95,0x800000,10000000,00010000000000000000000000000000,
3.155443620884047e-29,0,-95,0xa00000,10200000,00010000001000000000000000000000,
3.7865323450608567e-29,0,-95,0xc00000,10400000,00010000010000000000000000000000,
